node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 5.0000 1 3 2  
0 28 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 2.0000 4 3 3  
0 32 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 1.0000 4 3 4  
32 33 4 -0.1240 0.0357 0.4831 -0.2574 0.1063 0.9087 0.2000 1.0000 1.0000 4 3 4  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 5.0000 1 3 2  
28 29 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 2.0000 4 3 3  
29 30 3 0.3157 -0.0190 0.9478 0.4898 -0.0342 1.3146 0.2000 1.6327 2.0000 4 3 3  
30 31 3 0.4898 -0.0342 1.3146 0.6929 -0.0544 1.6660 0.2000 1.6327 2.0000 4 3 3  
3 10 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 3.9464 3 3 6  
6 16 7 0.8208 0.6093 2.2289 1.1142 0.6270 3.1847 0.2000 2.1137 3.9464 3 3 7  
9 22 8 1.6443 1.1663 3.3039 2.1232 1.7250 3.9811 0.2000 2.1137 3.9464 3 3 8  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 5.0000 1 3 2  
6 7 2 0.8208 0.6093 2.2289 1.0774 0.7833 2.6211 0.2000 2.4875 5.0000 1 3 2  
4 5 2 0.4071 0.3209 1.4042 0.6067 0.4619 1.8404 0.2000 3.4875 5.0000 1 3 2  
7 8 2 1.0774 0.7833 2.6211 1.3593 0.9736 2.9876 0.2000 3.4875 5.0000 1 3 2  
12 15 11 0.4098 0.2367 4.1358 0.3714 0.2094 5.1347 0.0160 4.2414 2.8863 1 4 11  
18 21 14 1.4721 0.5051 5.3343 1.4880 0.4847 6.3340 0.0160 4.2414 2.8863 1 4 14  
24 27 17 2.8571 2.7163 5.7959 3.0427 2.7594 6.7776 0.0160 4.2414 2.8863 1 4 17  
10 13 9 0.3621 0.2280 1.9420 0.3685 0.2339 2.9420 0.0160 4.2414 2.8863 1 4 9  
11 14 10 0.4081 0.2446 3.0384 0.4022 0.1864 4.0366 0.0160 4.2414 2.8863 1 4 10  
16 19 12 1.1142 0.6270 3.1847 1.2742 0.3863 4.1420 0.0160 4.2414 2.8863 1 4 12  
17 20 13 1.3938 0.6219 4.2459 1.5360 0.5542 5.2334 0.0160 4.2414 2.8863 1 4 13  
22 25 15 2.1232 1.7250 3.9811 2.4472 2.1445 4.8290 0.0160 4.2414 2.8863 1 4 15  
23 26 16 2.5084 2.2318 4.8750 2.5525 2.6487 5.7829 0.0160 4.2414 2.8863 1 4 16  
5 6 2 0.6067 0.4619 1.8404 0.8208 0.6093 2.2289 0.2000 4.4875 5.0000 1 3 2  
8 9 2 1.3593 0.9736 2.9876 1.6443 1.1663 3.3039 0.2000 4.4875 5.0000 1 3 2  
10 11 6 0.3621 0.2280 1.9420 0.4081 0.2446 3.0384 0.2000 4.8502 3.9464 3 3 6  
11 12 6 0.4081 0.2446 3.0384 0.4098 0.2367 4.1358 0.2000 4.8502 3.9464 3 3 6  
16 17 7 1.1142 0.6270 3.1847 1.3938 0.6219 4.2459 0.2000 4.8502 3.9464 3 3 7  
17 18 7 1.3938 0.6219 4.2459 1.4721 0.5051 5.3343 0.2000 4.8502 3.9464 3 3 7  
22 23 8 2.1232 1.7250 3.9811 2.5084 2.2318 4.8750 0.2000 4.8502 3.9464 3 3 8  
23 24 8 2.5084 2.2318 4.8750 2.8571 2.7163 5.7959 0.2000 4.8502 3.9464 3 3 8  
0 1 1 0.0000 0.0000 0.0000 0.0208 -0.7882 -0.6151 0.0500 5.0000 5.0000 1 2 1  
